1;;A Trip To The Moon (Le Voyage Dans La Lune);Georges Méliès;1902
2;;The Great Train Robbery;Edwin S. Porter;1903
3;;The Student of Prage;Stellan Rye, Paul Wegener;1913
4;;Les vampires;Louis Feuillade;1915
5;;The Birth of a Nation;D.W. Griffith;1915
6;;Intolerance;D.W. Griffith;1916
7;;The Mandarin;Fritz Freisler;1918
8;;Broken Blossoms;D.W. Griffith;1919
9;;Uncanny Stories (Unheimliche Geschichten);Richard Oswald;1919
10;;From Morning to Midnight;Karl Heinz Martin;1920
11;;Dr. Jekyll and Mr Hyde;F.W. Murnau;1920
12;;Satanas;F.W. Murnau;1920
13;;Algol;Hans Werckmeister;1920
14;;The Cabinet of Dr. Caligari;Robert Wiene;1920
15;;Genuine;Robert Wiene;1920
16;;The Wild Cat;Ernst Lubitsch;1921
17;;The Haunted Castle;F.W. Murnau;1921
18;;Journey into the Night;F.W. Murnau;1921
19;;The Kid;Charles Chaplin;1921
20;;Torgus;Hanns Kobe;1921
21;;Destiny;Fritz Lang;1921
22;;The Phantom Carriage;Victor Sjöström;1921
23;;Nosferatu;F.W. Murnau;1922
24;;Phantom;F.W. Murnau;1922
25;;Vanina;Arthur von Gerlach;1922
26;;Haxan;Benjamin Christensen;1922
27;;The Burning Soil;F.W. Murnau;1922
28;;Dr. Mabuse: The Gambler;Fritz Lang;1922
29;;Nanook of the North;Robert J. Flaherty;1922
30;;Warning Shadows: A nocturnal Hallucination;Arthur Robison;1923
31;;The Street;Karl Grune;1923
32;;Earth Spirit;Leopold Jessner;1923
33;;Crime and Punishment;Robert Wiene;1923
34;;The Last Laugh;F.W. Murnau;1924
35;;The Finances of the Grand Duke;F.W. Murnau;1924
36;;A Single Man;Tom Ford;2009
37;;Kino Eye;Dziga Vertov;1924
38;;Die Nibelungen: Siegfried;Fritz Lang;1924
39;;Ballet mécanique;Fernand Léger and Dudley Murphy;1924
40;;The Hands of Orlac;Robert Wiene;1924
41;;The City Without Jews;H.K. Breslauer;1924
42;;Waxwork;Paul Leni, Leo Birinsky;1924
43;;Aelita: The Queen of Mars;Yakov Protazanov;1924
44;;The Chronicles of the Gray House;Arthur von Gerlach;1925
45;;The Gold Rush;Charlie Chaplin;1925
46;;Tartuffe;F.W. Murnau;1925
47;;Battleship Potemkin;Sergei Eisenstein;1925
48;;Faust;F.W. Murnau;1926
49;;Secrets of a Soul;G.W. Pabst;1926
50;;The Overcoat;Grigori Kozintsev, Leonid Trauberg;1926
51;;The Student of Prague;Henrik Galeen;1926
52;;The Cat and the Canary;Paul Leni;1926
53;;A Page of Madness;Teinosuke Kinugasa;1926
54;;Anemic Cinema;Marcel Duchamp;1926
55;;The General;Buster Keaton, Clyde Bruckman;1927
56;;Sunrise: A Song of two humans;F.W. Murnau;1927
57;;Metropolis;Fritz Lang;1927
58;;The Jazz Singer;Alan Crosland;1928
59;;The Passion of Joan of Arc;Carl Theodor Dreyer;1928
60;;The Circus;Charles Chaplin;1928
61;;The Man who Laughs;Paul Leni;1928
62;;An Andalusian Dog (Un Chien Andalou);Luis Buñuel;1929
63;;Nerves;Robert Reinert;1929
64;;Earth;Aleksandr Dovzhenko;1930
65;;Borderline;Kenneth Macpherson;1930
66;;All Quiet on the Western Front;Lewis Milestone;1930
67;;The Golden Age (L'Age d'Or);Luis Buñuel;1930
68;;The Blood of a Poet;Jean Cocteau;1930
69;;For the Defense;"John Cromwell
";1930
70;;The Blue Angel;Josef von Sternberg;1930
71;;Morocco;Josef von Sternberg;1930
72;;Little Caesar;Mervyn LeRoy;1930
73;;Show Girl in Hollywood;"Mervyn LeRoy
";1930
74;;The Divorcee;"Robert Z. Leonard
";1930
75;;Marius;Alexander Korda;1931
76;;Limite;Mário Peixoto;1931
77;;City Lights;Charles Chaplin;1931
78;;Tabu;F.W. Murnau;1931
79;;Bad Girl;"Frank Borzage
";1931
80;;M;Fritz Lang;1931
81;;Frankenstein;James Whale;1931
82;;Dishonored;Josef von Sternberg;1931
83;;Gentleman's Fate;Mervyn LeRoy;1931
84;;Freedom for Us ;René Clair;1931
85;;City Streets;Rouben Mamoulian;1931
86;;Dr. Jekyll and Mr. Hyde;Rouben Mamoulian;1931
87;;¡Que viva México!;Serguei M. Eisenstein;1931
88;;Dracula;Tod Browning;1931
89;;The Public Enemy;William A. Wellman;1931
90;;Night Nurse;William A. Wellman;1931
91;;Safe in Hell;"William A. Wellman
";1931
92;;The Vampire (Vampyr);Carl Theodor Dreyer;1932
93;;Fanny;Marc Allégret ;1932
94;;The Most Dangerous Game;Ernest B. Schoedsack and Irving Pichel;1932
95;;Trouble in Paradise;Ernst Lubitsch;1932
96;;Scarface;Howard Hawks;1932
97;;Washington Merry-Go-Round;James Cruze;1932
98;;Boudu Saved from Drowning;Jean Renoir;1932
99;;Call Her Savage;"John Francis Dillon
";1932
100;;Shanghai Express;Josef von Sternberg;1932
101;;Shanghai Express ;Josef von Sternberg;1932
102;;Blonde Venus;Josef von Sternberg;1932
103;;I Am a Fugitive from a Chain Gang;Mervyn LeRoy;1932
104;;Three on a Match;"Mervyn LeRoy
";1932
105;;Love Me Tonight;Rouben Mamoulian;1932
106;;Hell's Highway;Rowland Brown, John Cromwell;1932
107;;Freaks;Tod Browning;1932
108;;Red Dust;Victor Fleming;1932
109;;Baby Face;Alfred E. Green;1933
110;;Duck Soup ;Leo McCarey;1933
111;;42nd Street;Lloyd Bacon;1933
112;;Footlight Parade;Lloyd Bacon;1933
113;;She Done Him Wrong;Lowell Sherman;1933
114;;Land Without Bread;Luis Buñuel;1933
115;;The Sign of the Cross;Cecil B. DeMille;1933
116;;Queen;Christina Rouben Mamoulian;1933
117;;The Bitter Tea of General Yen ;Frank Capra;1933
118;;The Testament of Dr. Mabuse;Fritz Lang;1933
119;;The Last Will of Dr. Mabuse;Fritz Lang;1933
120;;Gabriel Over the White House;Gregory La Cava;1933
121;;Red Headed Woman;"Jack Conway
";1933
122;;Zero for Conduct;Jean Vigo;1933
123;;Only Yesterday;"John M. Stahl
";1933
124;;King Kong;Merian C. Cooper & Ernest B. Schoedsack;1933
125;;Gold Diggers of 1933;Mervyn LeRoy;1933
126;;The Sin of Nora Moran;Phil Goldstone;1933
127;;Queen Christina;"Rouben Mamoulian
";1933
128;;Employee’s Entrance;Roy Del Ruth;1933
129;;Story of Temple Drake;Stephen Roberts;1933
130;;I’m No Angel;Wesley Ruggles;1933
131;;Sons of the Desert;William A. Seiter;1933
132;;Diplomaniacs;"William A. Seiter
";1933
133;;Heroes for Sale;William A. Wellman;1933
134;;The Man Who Knew Too Much;Alfred Hitchcock;1934
135;;Triumph of the Will;Leni Riefenstahl;1934
136;;Tarzan and His Mate;Cedric Gibbons, Jack Conway,;1934
137;;The Black Cat ;Edgar G. Ulmer;1934
138;;It Happened One Night ;Frank Capra;1934
139;;L’Atalante;Jean Vigo;1934
140;;The Lost Patrol ;"John Ford
";1934
141;;The Scarlet Empress;Josef von Sternberg;1934
142;;Jimmy the Gent;Michael Curtiz;1934
143;;Murder at the Vanities;Mitchell Leisen;1934
144;;It’s a Gift;Norman Z. McLeod;1934
145;;Smarty;"Robert Florey
";1934
146;;The Thin Man;W.S. Van Dyke;1934
147;;The Goddess;Wu Yonggang;1934
148;;The 39 Steps;Alfred Hitchcock;1935
149;;Top Hat ;Mark Sandrich;1935
150;;Mutiny on the Bounty;Frank Lloyd;1935
151;;Peter Ibbertson;Henry Hathaway;1935
152;;Bride of Frankenstein;James Whale;1935
153;;The Devil Is a Woman;Josef von Sternberg;1935
154;;Captain Blood;Michael Curtiz;1935
155;;A Night at the Opera;Sam Wood;1935
156;;Cesar;Marcel Pagnol;1936
157;;Modern Times ;Charles Chaplin;1936
158;;Modern Times;Charles Chaplin;1936
159;;Mr. Deeds Goes to Town;Frank Capra;1936
160;;Camille;George Cukor;1936
161;;Swing Time ;George Stevens;1936
162;;My Man Godfrey;Gregory La Cava;1936
163;;The Lower Depths;Jean Renoir;1936
164;;The Story of a Cheat;Sacha Guitry;1936
165;;Things to Come;William Cameron Menzies;1936
166;;Dodsworth;William Wyler;1936
167;;Pépé le Moko;Julien Duvivier;1937
168;;Stella Dallas ;King Vidor;1937
169;;Make Way for Tomorrow ;Leo McCarey;1937
170;;The Awful Truth;Leo McCarey;1937
171;;Make Way for Tomorrow;Leo McCarey;1937
172;;Midnight Song;Ma-Xu Weibang;1937
173;;Grand Illusion;Jean Renoir;1937
174;;Captains Courageous;Victor Fleming;1937
175;;Snow White and the Seven Dwarfs;William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, & Ben Sharpsteen;1937
176;;The Life of Émile Zola;William Dieterle;1937
177;;The Lady Vanishes;Alfred Hitchcock;1938
178;;La vuelta al nido;Leopoldo Torres Ríos;1938
179;;The Baker’s Wife;Marcel Pagnol;1938
180;;Bringing Up Baby;Howard Hawks;1938
181;;La Bête Humaine;Jean Renoir;1938
182;;"Angels with Dirty Faces
";Michael Curtiz;1938
183;;The Adventures of Robin Hood;Michael Curtiz & William Keighley;1938
184;;Jezebel;William Wyler;1938
185;;Olympia Part 1: Festival of the Nations Part 2: Festival of Beauty;Leni Riefenstahl;1938
186;;The Story of the Late Chrysanthemums;Kenji Mizoguchi;1939
187;;The Story of the Last Chrysanthemum;Kenji Mizoguchi;1939
188;;Daybreak (Le jour se lève);Marcel Carné;1939
189;;Orphan Island Paradise;Chusheng Cai;1939
190;;Ninotchka;Ernst Lubitsch;1939
191;;Mr. Smith Goes to Washington;Frank Capra;1939
192;;Destry Rides Again;George Marshall;1939
193;;Gunga Din;George Stevens;1939
194;;Only Angels Have Wings;Howard Hawks;1939
195;;The Rules of the Game;Jean Renoir;1939
196;;Stagecoach;John Ford;1939
197;;Young Mr. Lincoln;John Ford;1939
198;;The Wizard of Oz;Victor Fleming;1939
199;;Gone with the Wind;Victor Fleming & George Cukor;1939
200;;Wuthering Heights ;William Wyler;1939
201;;Rebecca;Alfred Hitchcock;1940
202;;Fantasia;Ben Sharpsteen;1940
203;;The Bank Dick;Edward F. Cline;1940
204;;The Mortal Storm ;Frank Borzage;1940
205;;The Philadelphia Story;George Cukor;1940
206;;Pinocchio;Hamilton Luske, Ben Sharpsteen;1940
207;;His Girl Friday;Howard Hawks;1940
208;;The Grapes of Wrath;John Ford;1940
209;;Dumbo;Ben Sharpsteen;1941
210;;The Wolf Man;George Waggner;1941
211;;Sergeant York;Howard Hawks;1941
212;;How Green Was My Valley;John Ford;1941
213;;The Maltese Falcon;John Huston;1941
214;;Citizen Kane;Orson Welles;1941
215;;The Lady Eve;Preston Sturges;1941
216;;Sullivan’s Travels;Preston Sturges;1941
217;;High Sierra;Raoul Walsh;1941
218;;The Devil and Daniel Webster;William Dieterle;1941
219;;To Be or Not to Be;Ernst Lubitsch;1942
220;;Now, Voyager;Irving Rapper;1942
221;;Cat People;Jacques Tourneur;1942
222;;Yankee Doodle Dandy;Michael Curtiz;1942
223;;Casablanca;Michael Curtiz;1942
224;;The Magnificent Ambersons;Orson Welles & Fred Fleck;1942
225;;The Palm Beach Story;Preston Sturges;1942
226;;Mrs. Miniver;William Wyler;1942
227;;Sanshiro Sugata;Akira Kurosawa;1943
228;;Shadow of a Doubt;Alfred Hitchcock;1943
229;;The Man in Grey;Leslie Arliss;1943
230;;Ossessione;Luchino Visconti;1943
231;;The Seventh Victim;Mark Robson;1943
232;;Fires Were Started;Humphrey Jennings;1943
233;;Meshes of the Afternoon;Maya Deren, Alexander Hammid;1943
234;;The Life and Death of Colonel Blimp;Michael Powell & Emeric Pressburger;1943
235;;The Ox-Bow Incident;William A. Wellman;1943
236;;The Most Beautiful;Akira Kurosawa;1944
237;;Double Indemnity;Billy Wilder;1944
238;;Laura;Otto Preminger, Rouben Mamoulian;1944
239;;Henry V;Laurence Olivier;1944
240;;Farewell, My Lovely;Edward Dmytryk;1944
241;;Gaslight;George Cukor;1944
242;;To Have and Have Not;Howard Hawks;1944
243;;Ivan the Terrible, Parts I and II;Sergei M. Eisenstein;1944
244;;Meet Me in St. Louis;Vincente Minnelli;1944
245;;The Children Are Watching Us;Vittorio De Sica;1944
246;;Sanshiro Sugata, Part Two;Akira Kurosawa;1945
247;;The Men Who Tread on the Tiger's Tail;Akira Kurosawa;1945
248;;The Lost Weekend;Billy Wilder;1945
249;;The Children of Paradise;Marcel Carné;1945
250;;Brief Encounter;David Lean;1945
251;;Detour;Edgar G. Ulmer;1945
252;;The Battle of San Pietro;John Huston;1945
253;;Mildred Pierce;Michael Curtiz;1945
254;;I Know Where I’m Going!;Michael Powell & Emeric Pressburger;1945
255;;Rome Open City;Roberto Rossellini;1945
256;;No Regrets for Our Youth;Akira Kurosawa;1946
257;;Notorious;Alfred Hitchcock;1946
258;;Gilda;Charles Vidor;1946
259;;Great Expectations;David Lean;1946
260;;It’s a Wonderful Life;Frank Capra;1946
261;;The Big Sleep;Howard Hawks;1946
262;;Beauty and the Beast;Jean Cocteau;1946
263;;A Day in the Country;Jean Renoir;1946
264;;My Darling Clementine;John Ford;1946
265;;A Matter of Life and Death;Michael Powell & Emeric Pressburger;1946
266;;Black Narcissus;Michael Powell & Emeric Pressburger;1946
267;;The Killers;Robert Siodmak;1946
268;;Paisan;Roberto Rossellini;1946
269;;The Postman Always Rings Twice;Tay Garnett;1946
270;;The Best Years of Our Lives;William Wyler;1946
271;;One Wonderful Sunday;Akira Kurosawa;1947
272;;Odd Man Out;Carol Reed;1947
273;;Monsieur Verdoux;Charles Chaplin;1947
274;;Dreams That Money Can Buy;Hans Richter;1947
275;;Out of the Past;Jacques Tourneur;1947
276;;Fireworks;Kenneth Anger;1947
277;;Force of Evil;Abraham Polonsky;1948
278;;Drunken Angel;Akira Kurosawa;1948
279;;Rope;Alfred Hitchcock;1948
280;;The Snake Pit;Anatole Litvak;1948
281;;Hamlet;Laurence Olivier;1948
282;;Oliver Twist;David Lean;1948
283;;Spring in a Small Town;Fei Mu;1948
284;;Secret Beyond the Door;Fritz Lang;1948
285;;Red River;Howard Hawks, Arthur Rosson;1948
286;;The Treasure of the Sierra Madre;John Huston;1948
287;;Letter from an Unknown Woman;Max Ophüls;1948
288;;The Red Shoes;Michael Powell & Emeric Pressburger;1948
289;;They Live by Night;Nicholas Ray;1948
290;;The Paleface;Norman Z. McLeod;1948
291;;The Lady from Shanghai;Orson Welles;1948
292;;Louisiana Story;Robert J. Flaherty;1948
293;;Germany Year Zero;Roberto Rossellini;1948
294;;Sorrows of the Forbidden City;Shilin Zhu;1948
295;;Bicycle Thieves;Vittorio De Sica;1948
296;;Bicycle Thieves;Vittorio De Sica;1948
297;;Whisky Galore!;Alexander Mackendrick;1949
298;;The Third Man;Carol Reed;1949
299;;Adam’s Rib;George Cukor;1949
300;;Gun Crazy;Joseph H. Lewis;1949
301;;The Reckless Moment;Max Ophüls;1949
302;;White Heat;Raoul Walsh;1949
303;;Kind Hearts and Coronets;Robert Hamer;1949
304;;On the Town;Stanley Donen & Gene Kelly;1949
305;;The Heiress;William Wyler;1949
306;;Late Spring;Yasujiro Ozu;1949
307;;Scandal;Akira Kurosawa;1950
308;;Rashômon;Akira Kurosawa;1950
309;;Winchester ’73;Anthony Mann;1950
310;;Sunset Blvd.;Billy Wilder;1950
311;;The Young and the Damned;Luis Buñuel;1950
312;;Los olvidados;Luis Buñuel;1950
313;;Tears of the Pearl River;Chusheng Cai, Weiyi Wang;1950
314;;The Kid;Feng Feng;1950
315;;Orpheus;Jean Cocteau;1950
316;;Rio Grande;John Ford;1950
317;;The Asphalt Jungle;John Huston;1950
318;;All About Eve;Joseph L. Mankiewicz;1950
319;;In a Lonely Place;Nicholas Ray;1950
320;;Strangers on a Train;Alfred Hitchcock;1951
321;;The Idiot;Akira Kurosawa;1951
322;;Pandora and the Flying Dutchman;Albert Lewin;1951
323;;Ace in the Hole;Billy Wilder;1951
324;;The Lavender Hill Mob;Charles Crichton;1951
325;;A Streetcar Named Desire;Elia Kazan;1951
326;;A Place in the Sun;George Stevens;1951
327;;The African Queen;John Huston;1951
328;;Diary of a Country Priest;Robert Bresson;1951
329;;The Day the Earth Stood Still;Robert Wise;1951
330;;An American in Paris;Vincente Minnelli;1951
331;;To Live (Ikiru);Akira Kurosawa;1952
332;;Ikiru;Akira Kurosawa;1952
333;;The Life of Oharu;Kenji Mizoguchi;1952
334;;Limelight;Charles Chaplin;1952
335;;High Noon;Fred Zinnemann;1952
336;;The Quiet Man;John Ford;1952
337;;Othello;Orson Welles;1952
338;;Forbidden Games;René Clément;1952
339;;Europa ’51;Roberto Rossellini;1952
340;;Singin’ in the Rain;Stanley Donen & Gene Kelly;1952
341;;The Bad and the Beautiful;Vincente Minnelli;1952
342;;Umberto D;Vittorio De Sica;1952
343;;Umberto-D;Vittorio De Sica;1952
344;;The Naked Spur;Anthony Mann;1953
345;;Ugetsu;Kenji Mizoguchi;1953
346;;From Here to Eternity;Fred Zinnemann;1953
347;;The Big Heat;Fritz Lang;1953
348;;Shane;George Stevens;1953
349;;The Wages of Fear;Henri-Georges Clouzot;1953
350;;Wages of Fear;Henri-Georges Clouzot;1953
351;;Gentlemen Prefer Blondes;Howard Hawks;1953
352;;The Bigamist;Ida Lupino;1953
353;;Summer with Monika;Ingmar Bergman;1953
354;;Mr. Hulot’s Holiday;Jacques Tati;1953
355;;The Golden Coach;Jean Renoir;1953
356;;The Earrings of Madame de...;Max Ophüls;1953
357;;Voyage in Italy;Roberto Rossellini;1953
358;;Pickup on South Street;Samuel Fuller;1953
359;;Festival Moon;Shilin Zhu;1953
360;;In the Face of Demolition;Tie Li;1953
361;;The Band Wagon;Vincente Minnelli;1953
362;;Roman Holiday;William Wyler;1953
363;;Tokyo Story;Yasujiro Ozu;1953
364;;Seven Samurai;Akira Kurosawa;1954
365;;Rear Window;Alfred Hitchcock;1954
366;;Silver Lode;Allan Dwan;1954
367;;Sanshô the Bailiff;Kenji Mizoguchi;1954
368;;Senso;Luchino Visconti;1954
369;;On the Waterfront;Elia Kazan;1954
370;;The Road (La Strada);Federico Fellini;1954
371;;A Star Is Born;George Cukor;1954
372;;Salt of the Earth;Herbert J. Biberman;1954
373;;Samurai I: Musashi Miyamoto;Hiroshi Inagaki;1954
374;;Godzilla (Gojira);Ishiro Honda;1954
375;;The Barefoot Contessa;Joseph L. Mankiewicz;1954
376;;Johnny Guitar;Nicholas Ray;1954
377;;Carmen Jones;Otto Preminger;1954
378;;The Night of the Hunter;Charles Laughton;1955
379;;East of Eden;Elia Kazan;1955
380;;Kiss Me Deadly; Robert Aldrich;1955
381;;I Live in Fear;Akira Kurosawa;1955
382;;Night and Fog;Alain Resnais;1955
383;;The Ladykillers;Alexander Mackendrick;1955
384;;Ordet;Carl Theodor Dreyer;1955
385;;The Fiends (Les Diaboliques);Henri-Georges Clouzot;1955
386;;Parents' Hearts;Kim Chun;1955
387;;Richard III;Laurence Olivier;1955
388;;The Ten Commandments;Cecil B. DeMille;1955
389;;Marty;Delbert Mann;1955
390;;All That Heaven Allows;Douglas Sirk;1955
391;;Artists and Models;Frank Tashlin;1955
